ds,yhat
2025-04-01 00:00:00,24350.89893207376
2025-04-01 01:00:00,47765.634362126555
2025-04-01 02:00:00,83136.61234669955
2025-04-01 03:00:00,127491.74564191505
2025-04-01 04:00:00,175315.54903353727
2025-04-01 05:00:00,221464.02793046559
2025-04-01 06:00:00,263144.6703288435
2025-04-01 07:00:00,299377.00401368394
2025-04-01 08:00:00,328909.4727445682
2025-04-01 09:00:00,349005.80996711884
2025-04-01 10:00:00,356460.3232148967
2025-04-01 11:00:00,349813.0356261103
2025-04-01 12:00:00,330475.81396410917
2025-04-01 13:00:00,301613.63565837726
2025-04-01 14:00:00,265952.9006784904
2025-04-01 15:00:00,224792.38466388482
2025-04-01 16:00:00,179210.76011690506
2025-04-01 17:00:00,132094.29560538733
2025-04-01 18:00:00,88602.3509186158
2025-04-01 19:00:00,54155.83473714435
2025-04-01 20:00:00,31569.52404823748
2025-04-01 21:00:00,19998.89670204345
2025-04-01 22:00:00,16793.64187458332
2025-04-01 23:00:00,20605.184195884707
2025-04-02 00:00:00,32853.71778343152
2025-04-02 01:00:00,56171.667692768155
2025-04-02 02:00:00,91281.6356420392
2025-04-02 03:00:00,135214.31612249475
2025-04-02 04:00:00,182459.17041619073
2025-04-02 05:00:00,227879.34124555968
2025-04-02 06:00:00,268691.6421360548
2025-04-02 07:00:00,303927.0827820187
2025-04-02 08:00:00,332347.6839657219
2025-04-02 09:00:00,351232.7607548152
2025-04-02 10:00:00,357394.0877127056
2025-04-02 11:00:00,349390.8934960067
2025-04-02 12:00:00,328655.8155485741
2025-04-02 13:00:00,298375.9690924844
2025-04-02 14:00:00,261301.03824150024
2025-04-02 15:00:00,218753.98800550197
2025-04-02 16:00:00,171838.3266159668
2025-04-02 17:00:00,123465.53101180977
2025-04-02 18:00:00,78820.25652487844
2025-04-02 19:00:00,43348.50068525181
2025-04-02 20:00:00,19889.623739014583
2025-04-02 21:00:00,7622.880915484711
2025-04-02 22:00:00,3920.6348015962285
2025-04-02 23:00:00,7455.587210472586
2025-04-03 00:00:00,19667.530422891752
2025-04-03 01:00:00,43206.53884824956
2025-04-03 02:00:00,78810.66139478819
2025-04-03 03:00:00,123523.60391759886
2025-04-03 04:00:00,171845.19238368058
2025-04-03 05:00:00,218646.10223365627
2025-04-03 06:00:00,261147.69064317388
2025-04-03 07:00:00,298382.3952070691
2025-04-03 08:00:00,329110.45448345016
2025-04-03 09:00:00,350606.13066545024
2025-04-03 10:00:00,359672.8493192288
2025-04-03 11:00:00,354858.2042575496
2025-04-03 12:00:00,337579.95864113304
2025-04-03 13:00:00,311007.19640838064
2025-04-03 14:00:00,277868.53136586654
2025-04-03 15:00:00,239462.97178281992
2025-04-03 16:00:00,196867.36858271167
2025-04-03 17:00:00,152964.05824848212
2025-04-03 18:00:00,112906.31936688379
2025-04-03 19:00:00,82106.81026351513
2025-04-03 20:00:00,63369.887535492686
2025-04-03 21:00:00,55838.45742476566
2025-04-03 22:00:00,56847.52503063367
2025-04-03 23:00:00,65031.7771866743
